年月日,降水量の合計,天気概況
2006/1/1,0,曇
2006/1/2,3.5,雨時々曇
2006/1/3,0,晴
2006/1/4,0,曇
2006/1/5,0,曇後時々晴
2006/1/6,0,曇
2006/1/7,0,晴
2006/1/8,0,晴
2006/1/9,0,晴一時曇
2006/1/10,0,晴一時曇
2006/1/11,0,晴
2006/1/12,0,晴
2006/1/13,0,曇一時雨
2006/1/14,54.5,曇後大雨、雷を伴う
2006/1/15,0,晴後時々曇
2006/1/16,1,曇
2006/1/17,0.5,曇時々晴
2006/1/18,0,曇一時晴
2006/1/19,0,晴一時薄曇
2006/1/20,0,薄曇
2006/1/21,16,大雪
2006/1/22,0,晴一時曇
2006/1/23,0,快晴
2006/1/24,0,晴
2006/1/25,0,晴一時薄曇
2006/1/26,0,快晴
2006/1/27,0,晴
2006/1/28,0,快晴
2006/1/29,0,晴
2006/1/30,0,晴
2006/1/31,2.5,曇時々雨
2006/2/1,46.5,大雨
2006/2/2,0,曇一時晴
2006/2/3,0,晴一時薄曇
2006/2/4,0,晴後一時曇
2006/2/5,0,快晴
2006/2/6,0.5,曇
2006/2/7,6.5,曇後一時晴
2006/2/8,0,晴
2006/2/9,0,快晴
2006/2/10,0,快晴
2006/2/11,0,快晴
2006/2/12,0,晴一時曇
2006/2/13,0,快晴
2006/2/14,0,晴
2006/2/15,0,晴一時曇
2006/2/16,10,雨一時曇
2006/2/17,0.5,曇
2006/2/18,0,曇一時雨
2006/2/19,0,曇
2006/2/20,22,雨一時曇
2006/2/21,0,曇
2006/2/22,0,晴時々曇
2006/2/23,0,薄曇一時晴
2006/2/24,9,曇後雨
2006/2/25,0,晴後曇
2006/2/26,34,大雨
2006/2/27,0,薄曇
2006/2/28,0.5,曇
2006/3/1,38.5,雨
2006/3/2,0.5,曇
2006/3/3,3.5,曇一時雨、雷を伴う
2006/3/4,0,快晴
2006/3/5,0,晴
2006/3/6,0,曇一時晴
2006/3/7,0,曇時々晴
2006/3/8,0,晴一時薄曇
2006/3/9,0,曇
2006/3/10,4,雨
2006/3/11,0,快晴
2006/3/12,0,曇
2006/3/13,0,曇
2006/3/14,0,晴後一時曇
2006/3/15,0,快晴
2006/3/16,27.5,晴後曇一時雨
2006/3/17,0,晴一時曇
2006/3/18,1.5,晴後曇一時雨
2006/3/19,1.5,曇時々晴一時雨
2006/3/20,0,晴
2006/3/21,0,快晴
2006/3/22,9,曇
2006/3/23,9.5,曇一時雨後時々晴
2006/3/24,0,曇一時晴
2006/3/25,0,晴一時曇
2006/3/26,0,曇
2006/3/27,0,晴時々曇
2006/3/28,3.5,曇後晴
2006/3/29,1.5,晴
2006/3/30,0,晴後曇
2006/3/31,0,快晴
2006/4/1,0,晴後一時薄曇
2006/4/2,17,曇後雨、雷を伴う
2006/4/3,0,快晴
2006/4/4,0,晴後曇
2006/4/5,21.5,雨
2006/4/6,0,晴後曇
2006/4/7,0,曇
2006/4/8,0,晴時々曇一時雨、雷を伴う
2006/4/9,0,晴
2006/4/10,0,曇後雨
2006/4/11,18.5,曇後雨
2006/4/12,60.5,雨後時々曇
2006/4/13,0,曇一時霧
2006/4/14,0,曇一時晴
2006/4/15,0,薄曇
2006/4/16,4.5,雨時々曇
2006/4/17,0,快晴
2006/4/18,0,快晴
